Request id,Pickup point,Driver id,Request timestamp,Drop timestamp,Status
619,Airport,1,11/7/2016 11:51,11/7/2016 13:00,Trip Completed
867,Airport,1,11/7/2016 17:57,11/7/2016 18:47,Trip Completed
1807,City,1,12/7/2016 9:17,12/7/2016 9:58,Trip Completed
2532,Airport,1,12/7/2016 21:08,12/7/2016 22:03,Trip Completed
3112,City,1,13-07-2016 08:33:16,13-07-2016 09:25:47,Trip Completed
3879,Airport,1,13-07-2016 21:57:28,13-07-2016 22:28:59,Trip Completed
4270,Airport,1,14-07-2016 06:15:32,14-07-2016 07:13:15,Trip Completed
5510,Airport,1,15-07-2016 05:11:52,15-07-2016 06:07:52,Trip Completed
6248,City,1,15-07-2016 17:57:27,15-07-2016 18:50:51,Trip Completed
267,City,2,11/7/2016 6:46,11/7/2016 7:25,Trip Completed
1467,Airport,2,12/7/2016 5:08,12/7/2016 6:02,Trip Completed
1983,City,2,12/7/2016 12:30,12/7/2016 12:57,Trip Completed
2784,Airport,2,13-07-2016 04:49:20,13-07-2016 05:23:03,Trip Completed
3075,City,2,13-07-2016 08:02:53,13-07-2016 09:16:19,Trip Completed
3379,City,2,13-07-2016 14:23:02,13-07-2016 15:35:18,Trip Completed
3482,Airport,2,13-07-2016 17:23:18,13-07-2016 18:20:51,Trip Completed
4652,City,2,14-07-2016 12:01:02,14-07-2016 12:36:46,Trip Completed
5335,Airport,2,14-07-2016 22:24:13,14-07-2016 23:18:52,Trip Completed
535,Airport,3,11/7/2016 10:00,11/7/2016 10:31,Trip Completed
960,Airport,3,11/7/2016 18:45,11/7/2016 19:23,Trip Completed
1934,Airport,3,12/7/2016 11:17,12/7/2016 12:23,Trip Completed
2083,Airport,3,12/7/2016 15:46,12/7/2016 16:40,Trip Completed
2211,Airport,3,12/7/2016 18:00,12/7/2016 18:28,Trip Completed
3096,Airport,3,13-07-2016 08:17:29,13-07-2016 09:22:37,Trip Completed
3881,Airport,3,13-07-2016 21:54:18,13-07-2016 22:51:23,Trip Completed
5254,City,3,14-07-2016 21:23:03,14-07-2016 22:25:19,Trip Completed
5434,City,3,15-07-2016 02:41:38,15-07-2016 03:24:43,Trip Completed
5916,City,3,15-07-2016 10:00:43,15-07-2016 10:53:06,Trip Completed
669,City,4,11/7/2016 13:08,11/7/2016 13:49,Trip Completed
1567,Airport,4,12/7/2016 6:21,12/7/2016 7:10,Trip Completed
